timestamp,open,high,low,close,volume,RSI,RSI_signal,EMA9,EMA21,EMA_signal,CROSS_UP,CROSS_DOWN,ENTRY_LONG,ENTRY_SHORT,TRADE_SIGNAL,BB_upper,BB_lower,BB_signal,CONSENSUS
2025-09-18 08:15:00+00:00,1414.8,1416.4,1414.5,1416.4,48993,57.18121881286331,HOLD,1414.724044368472,1414.5450791010176,BUY,True,False,True,False,LONG,1416.4483723900755,1411.8816276099244,HOLD,HOLD
2025-09-18 08:20:00+00:00,1416.3,1416.9,1413.9,1414.4,154289,49.226745506006,HOLD,1414.6592354947777,1414.531890091834,BUY,False,False,False,False,HOLD,1416.3438894326391,1411.8961105673611,HOLD,HOLD
2025-09-18 08:25:00+00:00,1414.2,1414.5,1412.9,1413.8,63019,47.1094942430765,HOLD,1414.487388395822,1414.4653546289398,BUY,False,False,False,False,HOLD,1416.3216094115855,1411.868390588414,HOLD,HOLD
2025-09-18 08:30:00+00:00,1413.5,1415.0,1413.3,1414.6,52220,50.18592247642546,HOLD,1414.5099107166577,1414.477595117218,BUY,False,False,False,False,HOLD,1416.3216094115858,1411.8683905884143,HOLD,HOLD
2025-09-18 08:35:00+00:00,1414.6,1414.6,1412.9,1414.0,107791,47.9339739932762,HOLD,1414.4079285733262,1414.434177379289,SELL,False,True,False,True,SHORT,1416.288676703323,1411.8513232966773,HOLD,HOLD
2025-09-18 08:40:00+00:00,1414.0,1415.1,1413.9,1414.5,145123,49.94949996044929,HOLD,1414.4263428586612,1414.4401612538989,SELL,False,False,False,False,HOLD,1416.328227297487,1411.921772702513,HOLD,HOLD
2025-09-18 08:45:00+00:00,1414.5,1415.0,1414.3,1415.0,51647,51.952537580006116,HOLD,1414.541074286929,1414.4910556853624,BUY,True,False,True,False,LONG,1416.4114210125651,1411.9385789874348,HOLD,HOLD
2025-09-18 08:50:00+00:00,1414.8,1415.4,1414.0,1414.2,79881,48.601097726172625,HOLD,1414.4728594295434,1414.4645960776022,BUY,False,False,False,False,HOLD,1416.4020013232375,1412.0679986767623,HOLD,HOLD
2025-09-18 08:55:00+00:00,1414.1,1416.0,1413.1,1413.1,249797,44.36333859791703,HOLD,1414.1982875436347,1414.3405418887294,SELL,False,True,False,True,SHORT,1416.2655345707365,1412.3144654292635,HOLD,HOLD
2025-09-18 09:00:00+00:00,1413.5,1415.1,1413.2,1413.2,94543,44.83426344864282,HOLD,1413.9986300349078,1414.2368562624813,SELL,False,False,False,False,HOLD,1416.2031554051098,1412.1968445948903,HOLD,HOLD
